"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"US-001","Admin creates a new user account with a primary role","As an Admin, I want to create a new user account by providing their name, email, and assigning a primary role, so that I can securely grant a new employee the appropriate level of system access to perform their job duties.","Story","Backlog","Critical","odoo.dev@company.com","product.owner@company.com","2025-01-17","1","1","admin,user-management,security","Sprint 1","Establish foundational system: User roles, RBAC, core master data models, and user login.","Core System & Odoo Foundation","EPIC-001","TMS Odoo Module","","US-SYS-001","Odoo,Python","Low","Low","Successful user creation; Error on duplicate email; Validation on required fields.","All ACs pass; Code reviewed; Unit tests >80%; Security access validated; Deployed to staging.","2024-10-27T09:00:00Z","2024-10-27T09:00:00Z","2025-01-06","2025-01-17","100%","None","None","Unit, E2E","Core user model change.","Enables secure and controlled onboarding of new employees by provisioning role-based access to the system."
"US-070","System Enforces Role-Based Access Control (RBAC) for All Data Models","As a System Administrator, I want the system to strictly enforce data access and modification rights based on a user's assigned role, so that sensitive company data is protected, operational integrity is maintained, and each user can only perform actions relevant to their job function.","Story","Backlog","Critical","odoo.dev@company.com","product.owner@company.com","2025-01-17","8","8","security,rbac,core","Sprint 1","Establish foundational system: User roles, RBAC, core master data models, and user login.","Core System & Odoo Foundation","EPIC-001","TMS Odoo Module","","US-004","Odoo,Python,Security","Medium","Medium","Admin has full CRUD; Dispatch Manager restricted from finance; Driver can only see own trips; Driver cannot see financial data.","All ACs pass for all roles; Security files implemented and reviewed; E2E tests for key restrictions pass; Deployed to staging.","2024-10-27T09:00:00Z","2024-10-27T09:00:00Z","2025-01-06","2025-01-17","100%","QA team for extensive testing.","None","Integration, E2E, Security","System-wide security changes.","Ensures data security and confidentiality, enforces the principle of least privilege."
"US-006","Admin creates a new vehicle record","As an Admin, I want to create a new vehicle record by entering its key details like truck number, model, capacity, and ownership status.","Story","Backlog","Critical","odoo.dev@company.com","product.owner@company.com","2025-01-17","3","3","admin,master-data,vehicle","Sprint 1","Establish foundational system: User roles, RBAC, core master data models, and user login.","Master Data Management","EPIC-002","TMS Odoo Module","","US-058,US-070","Odoo,Python,XML","Low","Low","Successful creation with valid data; Error on duplicate truck number; Validation for required fields.","All ACs pass; Code reviewed; Unit tests >80%; E2E tests pass; Deployed to staging.","2024-10-27T09:00:00Z","2024-10-27T09:00:00Z","2025-01-06","2025-01-17","100%","None","None","Unit, E2E","Creates the core tms.vehicle model.","Establishes the foundational master data for the vehicle fleet."
"US-026","Dispatch Manager creates a new trip","As a Dispatch Manager, I want to create a new trip record by selecting a customer, defining the route, and specifying the material details and rate.","Story","Backlog","Critical","odoo.dev@company.com","product.owner@company.com","2025-01-31","5","5","dispatch,trip-management,core-workflow","Sprint 2","Complete Master Data Management (Edit, Deactivate) and implement core Trip Creation workflow.","Trip Lifecycle Management","EPIC-003","TMS Odoo Module","","US-015,US-019,US-020","Odoo,Python,XML","Medium","Low","Successful trip creation; Error on missing mandatory fields; Customer selection only shows active customers.","All ACs pass; Code reviewed; Unit tests >80%; E2E tests pass; Deployed to staging.","2024-10-27T09:00:00Z","2024-10-27T09:00:00Z","2025-01-20","2025-01-31","100%","None","None","Unit, Integration, E2E","Creates the core tms.trip model.","Initiates the primary revenue-generating workflow of the system."
"US-027","Dispatch Manager assigns an available vehicle and driver to a trip","As a Dispatch Manager, I want to select an available vehicle and an available driver from filtered lists and assign them to a 'Planned' trip.","Story","Backlog","Critical","odoo.dev@company.com","product.owner@company.com","2025-02-14","5","5","dispatch,trip-management,compliance","Sprint 3","Implement Trip Assignment workflow with all compliance validations and add document management.","Trip Lifecycle Management","EPIC-003","TMS Odoo Module","","US-026,US-006,US-012","Odoo,Python","Medium","Low","Successful assignment changes status to 'Assigned'; Vehicle list is filtered by status; Driver list is filtered by status and license validity; Error on insufficient vehicle capacity.","All ACs pass; Code reviewed; Unit tests >80%; Integration tests pass; Deployed to staging.","2024-10-27T09:00:00Z","2024-10-27T09:00:00Z","2025-02-03","2025-02-14","100%","None","None","Unit, Integration, E2E","Implements core business rules on trip assignment.","Enables the transition of a trip from planning to execution and ensures compliant resource allocation."
"US-046","Driver logs into the mobile-friendly web portal","As a Driver, I want to securely log into a simple, mobile-friendly web portal using my credentials, so that I can access my assigned trips and update my status.","Story","Backlog","Critical","frontend.dev@company.com","product.owner@company.com","2025-02-28","5","5","driver-portal,mobile,auth","Sprint 4","Deliver Driver Portal MVP: Login, view assigned trips, start a trip, log events, and upload POD.","Driver Portal & Mobile Experience","EPIC-004","TMS Odoo Module","","US-001,US-004,US-014,US-047","Odoo,OWL,JavaScript,CSS","Medium","Low","Successful login redirects to driver dashboard; Error on invalid credentials; UI is responsive on 360px width.","All ACs pass; Code reviewed; E2E tests pass; Security & accessibility scans pass; Deployed to staging.","2024-10-27T09:00:00Z","2024-10-27T09:00:00Z","2025-02-17","2025-02-28","100%","Backend team for auth endpoint.","None","E2E, Security, Accessibility, Compatibility","Creates the entry point for all driver functionality.","Enables drivers to access the system, which is the primary entry point for all field-based data capture."
"US-053","Driver submits a trip-related expense with receipt","As a Driver, I want to submit a trip-related expense through my mobile web portal by selecting the expense type, entering the amount, and uploading a photo of the receipt.","Story","Backlog","Critical","frontend.dev@company.com","product.owner@company.com","2025-03-14","5","5","driver-portal,expense,financial","Sprint 5","Implement the complete Expense Submission and Approval workflow, and add core Trip Exception Handling.","Financial Management & Invoicing","EPIC-005","TMS Odoo Module","","US-046,US-047,US-032","Odoo,OWL,Python,S3","Medium","Medium","Successful submission creates 'Submitted' expense; Validation on required fields; Error on invalid file type/size.","All ACs pass; Code reviewed; Unit & Integration tests pass; Performance on throttled network verified; Deployed to staging.","2024-10-27T09:00:00Z","2024-10-27T09:00:00Z","2025-03-03","2025-03-14","100%","Backend team for S3 integration.","None","Unit, Integration, E2E, Usability","Requires S3 bucket configuration.","Enables accurate and timely tracking of trip-related expenditures."
"US-086","Finance Officer creates a pre-filled draft invoice from a completed trip","As a Finance Officer, I want to automatically generate a pre-filled invoice from a completed trip record, so that I can reduce manual data entry and speed up billing.","Story","Backlog","Critical","odoo.dev@company.com","product.owner@company.com","2025-03-28","2","2","finance,invoicing,automation","Sprint 6","Solidify financial calculations and prepare for invoicing.","Financial Management & Invoicing","EPIC-005","TMS Odoo Module","","US-015,US-026,US-037","Odoo,Python,XML","Low","Low","Button on 'Completed' trip creates a 'Draft' invoice; Invoice is pre-filled with customer, rate, and trip details; Button is hidden for non-completed or already-invoiced trips.","All ACs pass; Code reviewed; Unit tests >80%; Deployed to staging.","2024-10-27T09:00:00Z","2024-10-27T09:00:00Z","2025-03-17","2025-03-28","100%","None","None","Unit, Integration, E2E","Key enabler for the main invoicing story.","Improves billing accuracy and efficiency."
"US-037","Finance Officer generates a GST-compliant e-invoice for a completed trip","As a Finance Officer, I want to generate a GST-compliant e-invoice for a completed trip to bill the customer accurately and comply with government tax regulations.","Story","Backlog","Critical","backend.dev@company.com","product.owner@company.com","2025-04-11","13","13","finance,invoicing,compliance,api-integration","Sprint 7","CRITICAL: Implement end-to-end GST E-Invoicing integration, including GSP client, workflow, and failure handling.","Financial Management & Invoicing","EPIC-005","TMS Odoo Module","","US-015,US-026,US-052","Odoo,Python,API Integration,AWS,QWeb","High","High","Successful generation via GSP API updates status and PDF; Error on non-completed trips; Resilient handling of API failures (sync/async fallback).","All ACs pass in GSP sandbox; Code reviewed; Unit/Integration tests pass; PDF is compliant; Security review complete; Deployed to staging.","2024-10-27T09:00:00Z","2024-10-27T09:00:00Z","2025-03-31","2025-04-11","100%","QA, DevOps","GSP Provider API and Sandbox","Unit, Integration, E2E, Security","High-risk feature with external dependency.","Ensures compliance with Indian GST e-invoicing laws and automates billing."
"US-039","Finance Officer records a payment against an invoice","As a Finance Officer, I want to record partial or full payments received from a customer against a specific invoice to track accounts receivable.","Story","Backlog","Critical","odoo.dev@company.com","product.owner@company.com","2025-04-25","1","1","finance,payment,accounts-receivable","Sprint 8","Complete core financial loop with payment recording, ledgers, notifications, and card management.","Financial Management & Invoicing","EPIC-005","TMS Odoo Module","","US-037,US-015","Odoo","Low","Low","Full payment marks invoice as 'Paid'; Partial payment updates 'Amount Due'; No payment on 'Paid' invoices.","All ACs pass; Code reviewed; Role-based access verified; Deployed to staging.","2024-10-27T09:00:00Z","2024-10-27T09:00:00Z","2025-04-14","2025-04-25","100%","None","None","Integration, E2E","Leverages standard Odoo functionality.","Enables accurate tracking of accounts receivable and cash flow."
